Principle,Situation
"Online dating provides endless options, which can lead to quick judgments based only on looks or profile details. However, continuously having more options don't always mean better matches long-term. You should have a checklist of 3-5 key attributes or characteristics that you want in a partner and be deliberate about swiping on people who meet that criteria.",choosing a partner
"Settling down later in life is a growing trend, especially in big cities focused on career development. Don't panic if serious relationships happen later than an ideal vision.",choosing a partner
"Look for partners whose attachment styles complement or align well with your own, as this can lead to more fulfilling and stable relationships.",choosing a partner
Focus on building a strong emotional connection and allowing the person to demonstrate their value as partners. People differ in the amount of time they need to decide if they're ready to commit to a serious relationship. Do not pressure someone into commitment - if they aren't ready to commit and you are you can either give them more time or decide to move on. ,commitment
"If you feel like the conversation is stalling, try moving the conversation along with an open ended question about something that has come up in conversation before or one of their interests from their profile. People take one word responses and a lack of questions to mean that the other person is not interested.  If you are interested in meeting someone, it is normal and efficient to suggest taking the conversation offline and meeting in person. Some ways to do this are: ""Let's do drinks this Wednesday? planning my week out"" or ""How about we meet up for drinks this week and continue the conversation face-to-face?""",conversation
"Try moving the conversation along with an open ended question about something that has come up in conversation before or one of their interests from their profile. If someone is giving you one word responses and not asking questions to continue the conversation, its a sign that they might not be that interested in you.",conversation
"If someone looks you up, or does something that feels like an invasion of privacy, you can let them know directly that it creeped you out by saying something like ""That feels a bit much for me, would have preferred you didn't do that"". You are totally fine to cancel the date or stop chatting with them, and say that is the reason why. You also can just choose to ignore and block, if it was an extreme situation. ",creepy
Comment on something specific in their profile - this shows you took the time to actually read it and sets you apart from generic messages. Demonstrate genuine interest in the other person by actively listening to what they share in their profile and responding thoughtfully.,dating apps
"Ask an open-ended question - yes or no questions don't offer much opening for continuing the dialogue. Ask about travel spots on their bucket list, favorite local bands, ideal vacation idea, etc.",dating apps
"Sometimes people don't have their notifications on for dating apps or forget to check the app for messages. If you're interested in a person you met on an app, it's okay to send a follow-up, so either ask a question, let them know you're interested, or respond in whatever manner is most appropriate in the context of your conversation. If you don't hear back from them, it's okay to move on. Sometimes people don't know how to communicate their lack of interest although it is always best do so as soon as you arrive at that conclusion. Refrain from spamming them with several texts. ",dating apps
"Give a unique compliment - don't just stick to the cliché appearance praise. Highlight something very specific you appreciate about their bio section. While it's natural to be attracted to someone's physical appearance, focusing solely on their looks in your opening message can come across as superficial. Instead, compliment something non-physical about them, such as their interests, accomplishments, or sense of humor. People use humor as a way to flirt. If you have just started talking, keep the conversation going and keep the flirty tone up - and when you feel like there has been enough banter, then ask the person out. ",dating apps
"Blending overlapping interests with your own flavor and uniqueness can achieve that dual goal. Share both. Try moving the conversation along with an open ended question about something that has come up in conversation before or one of their interests from their profile. The goal of dating apps is to move from chatting on the app to meeting in person. There is no perfect time to ask someone out. If the conversation is flowing well, at any point, you should feel comfortable suggesting moving from texting to meeting in person .Can say something like ""Enjoying our banter, but how about we take it offline and catch up over coffee drinks this week""",dating apps
Authenticity is key to making a connection on a dating app. Be genuine in your approach and avoid coming across as overly rehearsed or insincere. Showcasing your true personality and interests can help attract compatible matches who appreciate you for who you are.,dating apps
"Be mindful of the other person's boundaries and preferences when initiating a conversation. Respect their response time. Give them the space to reply at their own pace. If their response time isn't aligning with your needs and wants, you can always let them know what you need and want in terms of communication. Having a conversation like this might lead to figuring out a plan for communication that fulfills both parties needs and wants.",dating apps
"Be respectful of the other person by letting them know if you do not want to go on another date. Make it clear that your decision is final, and wish them well for the future. If they ask for details and you feel comfortable sharing, go for it. If you share details, be gentle in your approach, thinking about if this were you how would you want someone to share such details with you.  ",dating apps
"Suggest a Specific Plan: Instead of making a vague suggestion to meet up sometime, propose a specific plan for a date. This means you suggest a location as well as an activity and a date and time. The other person can always let you know if the specifics don't work for them for one reason or another, but this way you have made your interest clear and made the first move.",dating apps
"Respect that a no means no. If they express hesitation or prefer to continue getting to know each other online before meeting, then honor their wishes and give them the space they need.",dating apps
"Banter is a fun way to keep the conversation light-hearted and make the other person feel more comfortable. If you're interested in this person, don't hesitate to respond with a fun question or statement to see how they react. See how the conversation goes and if you feel that they're matching you're energy, ask to go out on a date.  People use humor as a way to flirt. If you are not sure, but have been talking for a while, it's worth going along with it, and using this as a moment to ask someone out and make your intentions known. If you have just started talking, keep the conversation going and keep the flirty tone up - and when you feel like there has been enough banter, then ask the person out. If your opening line on a dating app is asking someone out, that's fine. Know that sometimes people respond really well to moving offline, other times people get weirded out and need a little more casual banter. If you are going to ask someone out immediately, try to tie it back to an interest or some specific part of their profile. You can answer a funny question or statement honestly, or you can respond with a simple lol or haha, and then continue the conversation by asking a different question. ",dating apps
"Be open to meeting people from diverse backgrounds and with different interests, and don't limit yourself to a narrow set of criteria when swiping on dating apps. It's ok to have some non-negotiables but everything cannot be a non-negotiable",dating apps
"Optimize your dating app profile to showcase your personality and interests effectively, and use high-quality photos that represent you accurately.",dating apps
"Be cautious when meeting someone in person for the first time and take steps to ensure your safety, such as meeting in a public place and letting a friend know your plans.",dating apps
"If you're not having a lot of luck on the apps, expand your social circle: look for opportunities to meet potential partners in real-life settings, such as through mutual friends, social events, or shared interests. Take proactive steps to create opportunities for meeting potential partners in the real world, such as attending events, joining clubs or classes, and participating in group activities. You should have 1/3 of people come from apps, 1/3 from friends of friends and 1/3 in real life.",dating apps
Message matches thoughtfully referencing their profiles,dating apps
"Once the other person agrees to meet, confirm the details of the date, such as the time and location. Follow-up the morning of the date as well. ",dating etiquette
"It's really inconsiderate to reschedule or change a plan within two hours of a date. The other person is well within their rights to not show up or cancel. This shows lack of care and concern for their time. If someone doesn't confirm the date after a reschedule, you can assume that the date is not happening. If you want to make up to the person, apologize sincerely and make a concrete plan, with a time, location, and activity of their preference.",dating etiquette
"If someone changes a plan within 2 hours of the date, it is ok to not go since that is way too short notice. Let them know you are open to rescheduling. If the person reschedules a date or changes a date plan within a timeframe that is not acceptable to you, you are well within your rights to not show up or cancel as this shows a lack of care or concern for your time. If you're open to rescheduling, let them know that and also find a way to communicate your acceptable timeframe for rescheduling a date or changing a date plan. E.g., ""I am a planner and I like to solidify plans for my week on Sunday night. So, if you need to reschedule or change a plan then just let me know on Sunday. Unless an unforeseen emergency comes up, then I will understand."" ",dating etiquette
"If you have suggested a concrete plan and the other person is not confirming or suggesting an alternate, seems like they are not interested. It's best to move on. ",dating etiquette
A date is not confirmed unless both people say so.,dating etiquette
"If the they text you on the day off the date but don't confirm the date directly, it is ok to confirm that you are on! If they have not texted you the day off the date, it is better to confirm that you are on. If you don't get a response 5 hours before the date, you can assume the date is off. ",dating etiquette
"Don't be afraid to show off your personality! Be authentically yourself. If you're excited about something or seeing them, always feel comfortable to express it. See how they react. If they don't match the energy then you know where they stand in terms of interest level. ",dating etiquette
"If you are going to be late to a date, please let them know asap. It's always better to be honest and keep them informed that way they don't think you stood them up. Let's do our best at avoiding any misinterpretation. ",dating etiquette
"You can cancel a plan if you feel like it is not working out with the person, but do it in advance. Let them know you feel like it is not working out with them and that you wanted to respect their time.  ",dating etiquette
"Tips for a first date: remember it's just a vibe check not a job interview. You don't have to perform or entertain. Pay attention to if they ask you questions (and listen to responses). When you leave the date, take out your phone and write adjectives to describe how you feel immediately post (happy? Funny? Sexy?). Most importantly have fun!!!",dating tips
"It's important to remember that actions speak louder than words, and that the initial stages of dating are essentially a data collection era. The goal is to see how you feel when with them. There's nothing better than those first couple weeks where everything is magical and you can't see any of the flaws yet, so enjoy the sparkle just don't get carried away.",dating tips
"While some people may be hesitant to communicate their feelings directly, open and honest communication is important in relationships. If you're unsure about where you stand with someone, it's okay to have a conversation about your feelings and expectations.",define the realtionship
"You need to be someone's first choice and priority, and not be in someone's waiting room, waiting for them to decide and see if something better comes around. The talking stage is a stage not a destination. ",define the realtionship
"Everyone is different. There is no right or wrong. If your best friend is your boyfriend, then that's even better!",define the realtionship
"Asking the person ""what are we"" gives them power to decide the tone for this relationship and even control. It's best to assess how you feel when with them. Usually after the one to coming on the 2-month mark you know for sure whether or not you want to be in a relationship with a person. Let them know how you feel then. It is up to them to decide if they want to move forward or not. You shouldn't waste your time on someone who doesn't feel the same way you do about them. ",define the realtionship
"Adding to close friends could mean something, but it's better to assume nothing. Keep waiting and watching his behavior. If you want to reply to a close friends story in acknowledgement, that might move things along slightly.",define the relationship
"It's okay to drunk text. We have all been there. Don't beat yourself up too much if it's the first time. Don't make a habit of it. Ideally block your ex's number or change it so it does not tempt you in the future. 
As for this one, if it sounded clearly like you were drunk, or had a late night time stamp - there is no additional text that is required to be sent. Your ex knows where that came from. ",drunk texting
"If you were drunk and said something you regret, offer an apology as soon as possible. ",drunk texting 
"If someone says something totally weird, you can let them know it was too much for you, and that you don't think it's the right fit (ex. ""Ahh that's really not my thing, but I'm sure someone else would be down. Good luck with your dating journey!"")",end a thing
"If you are really not interested in someone and they are asking you out for the first time, best to be direct and let them know so that they do not waste your time or theirs. If you have gone out with someone before, and don't want to see them again, be brief, firm but kind when you are the one ending something. There is no need to go into long explanations of why it didn't work or give someone feedback on what they should change about themselves. It can be a short and simple text: ""It was great to meet you, but unfortunately I don't think we are on the same page and would be a good fit long term. I wish you the best with your dating journey."" There are sometimes very specific reasons that are worth acknowledging as to why you don't want to continue pursuing the relationship: living in different cities, work schedules, seeing someone else, or very different values (wanting kids vs. not). It is okay to bring one of these up since this is not about someone's character but gives them closure and an explanation.",end a thing
"If you have gone out with someone before, and don't want to see them again, be brief and firm but kind when you are the one ending something. It can be a short text: ""It was great to meet you, but unfortunately I don't think we are on the same page and would be a good fit long term. I wish you the best with your dating journey."" If they ask for feedback and you feel comfortable providing it, then go for it. Be gentle in your approach and approach them how you'd want someone else to approach you. ",end a thing
"If/when you feel it's best to end things (i.e. a relationship or even a conversation in the talking stage) and the person reacts rudely, don't feel pressured to have to respond or acknowledge it once you've clearly mentioned you're ending things and given an explanation. There's no point in arguing - save yourself the hassle and move on if you can. ",end a thing
"When in the early stages of talking, if someone shares they are no longer able to pursue something with you since they either found someone else/do not feel the connection they are looking for, there's nothing wrong in acknowledging their message and wishing them the best. It's always nice to have someone not string you along and just be upfront with how they feel - they're saving you time and energy. If both of you are comfortable with it, try to maintain the friendship if there was one before things became romantic, without letting romantic feelings get in the way. However, if it's too difficult for you to continue being friends without wanting something more, it's okay to take a step back or create some distance.",end a thing
"If someone is being an ass to you (i.e. calling you names or simply saying something ridiculous), decide how you want to approach them. You may want to directly let them know how it's making you feel and see if there's a positive change in their behavior, or you may want to just end the conversation (if you're still in the early stages of speaking). ",end a thing
"If you are interested in being friends with someone who had a casual situation with you can always add, ""I did really enjoy the time we spent, and would be very open to being friends - if that's something you are interested in"".",end a thing
"If you end things with someone and they ask you for feedback and you don't feel comfortable, you can let them know that ""I didn't feel a spark and don't want to waste your time, but good luck!""",end a thing
"If the root causes for your breakup have not been addressed, it's possible that those problems will return. It's important that you both have trust- if the breakup was caused by a lack of trust it might be beneficial to seek couples therapy (if you're serious about getting back together) and reference books, such as After the Affair, to learn how to rebuild trust. Consider whether you and your ex share similar values, goals, priorities and are compatible in key areas such as lifestyle, future plans, and core beliefs. If the problems have been dealt with, and there is trust and compatibility, it's likely that the relationship can move forward in a healthy way. ",ex
"It is important to have a solid understanding of where you and your ex stand. Sometimes no contact is better, but if you are able to end on amicable terms then that's good. If you're still communicating with an ex while being in a committed relationship that's probably not the best idea. Let go of the past. ",ex
Reaching out to an ex just to say sorry is literally you trying to assuage your guilt. It will only make the other person feel worse because they will be confused and they might think that you want to have another conversation about getting back together. Don't reach out unless you want to get back together or you have some thing that you didn't say. Leave it alone and allow them to get over it.,ex
What your ex gets up to is not your business. You are not together. Mute him and move on,ex
"For some people, finding the right partner is to date many people at the same time as you possibly can so that you can see what all is out there before you commit, so that when you do, you know it really is with the right person. For other people, finding the right partner is to date one person so that you can focus all your efforts on them so that you can get to a point where you know this really is the right person, and you're not pulled in many different directions, which for some can create a lot of confusion and frustration with the process. ",exclusivity
"For some people, it might make sense to tell someone early on that you would like to be exclusive and not see anyone else. Reasons for this could be that you'd like to focus all of your efforts on this person so that you can get to a point where you know whether this is really the right person, and you're not pulled in many different directions, which for some can create a lot of confusion and frustration with the process. Just make sure you're both on the same page - if you're not seeing anyone else, they aren't seeing anyone else either, or if you're okay with them seeing other people, you can mention that you're fine with it if they see other people. ",exclusivity
Perspective-taking is a key skill to help you empathize instead of criticize your partner. Happy couples allow their partner to influence them by being open to each other's persuasion and showing loyalty to the relationship when making decisions.,fighting 
"After conflicts, making sincere repair attempts like apologies or expressions of dedication to the relationship are essential to prevent emotional flooding, foster positive sentiment and strengthen bonds.",fighting 
Soften your approach when you fight. Choose when and how you choose to bring up the fight.,fighting 
"During the fight, learn to make and receive repair attempts to keep conflict from escalating (everything from referencing inside jokes, taking a break, or choosing to 'reset on a hug').",fighting 
Calm yourself and each other: take a break if you need to and calm down your partner if they need it.,fighting 
"Decide to compromise. Find a solution you can both live with, instead of insisting on all-or-nothing.",fighting 
"When you reach gridlock, a situation where neither of you is able to really progress on an issue beyond a point, there is a 4-step strategy for dealing with this. Understanding the root of the issue, and where your partner is coming from. Communicate calmly about it. Express your areas of flexibility and non-negotiability. End calmly, with a note of gratitude and appreciation for each other.",fighting 
"The survival of relationships depends on authentic, effective communication and mutual respect. But there are 4 horsemen: criticism, defensiveness, contempt, and stonewalling, that can come into communication and be huge roadblocks.",fighting 
"Solve your solvable problems - don't shy away from issues that cause resentment, so they can be handled constructively before building into serious rifts. Gently bring up problems, discuss where you’re each coming from, and commit to solutions that make both partners feel cared for.",fighting 
"Overcome gridlock - for issues you can't agree on, understand why you feel the way you do and avoid judging or invalidating each other. Keep discussing to find satisfactory compromises or create a sense of ""positive sentiment override"" based on goodwill.",fighting 
"If you struggle with attachment issues or find it challenging to maintain healthy relationships, consider seeking therapy or counseling to address underlying issues and develop healthier patterns.

",fighting 
"Can't force someone to see things from your perspective or to apologize to you. You can let them know that they hurt you and how you feel, but unfortunately their actions are not in your control.",fighting 
"It is not helpful to air your dirty laundry in public if you are together, or even after you break up - it will not help you heal any faster. ",fighting 
"If you feel like you are being attacked, or the person is being rude - you can say that in a nice but firm way and give them a chance to see things from your perspective. If they continue to double down on their behavior then decide whether you want to speak with them again about their behavior, or get out of the situation. ",fighting 
"It might be helpful to think about whether someone's behavior is making you less interested and make a note of that. In the talking stage, it's up to you to decide if you want to take it further, and it's important to reflect on whether their behavior is something you want in a partner. ",fighting 
"People use humor as a way to flirt. If you are not sure, but have been talking for a while, it's worth going along with it, and using this as a moment to ask someone out and make your intentions known. If you have just started talking, keep the conversation going and keep the flirty tone up - and when you feel like there has been enough banter, then ask the person out.",flirting
"If you are interested in someone, and you feel like they are friendzoning you - make your feelings clear so that the other person has all the information they need to make a decision. Choose an appropriate time and place to have an open and honest conversation with them. Understand that they may not share your romantic feelings, and be prepared to accept their response gracefully. Avoid pressuring them or making them feel guilty for not reciprocating your feelings. If both of you are comfortable with it, try to maintain the friendship without letting romantic feelings get in the way. However, if it's too difficult for you to continue being friends without wanting something more, it's okay to take a step back or create some distance.",friendzone
